Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Jurkat only,14.70207064,-16.64312426,3.247879927,-4.027693364,-7.726294228,9.857556888,-1.720290526,-0.937954578,0.754450726,3.812199923
Jurkat only,13.81671648,-7.462945037,11.10538204,5.44778676,-2.47591441,3.609314955,8.130359951,-0.095098442,-3.471962522,-5.312065618
Jurkat only,12.81770437,-20.25581636,4.363011633,8.187150601,-4.060298099,-2.965817181,-0.399100138,-0.480774149,-2.212258831,0.918504431
Jurkat only,13.42362195,-20.60402494,10.74725755,-0.188769203,0.878364716,-1.724839482,-2.647385959,0.717125813,4.209274258,-8.553043639
Jurkat only,13.98020494,-20.26216725,10.61815528,4.002498469,2.050991585,-2.511068014,3.590545119,0.350149687,1.902603189,-5.045340344
Jurkat only,17.26538764,-12.44094647,12.21426411,-5.642751088,1.875691918,-9.190039126,-3.064313461,1.091109847,-3.32403383,1.044283758
Jurkat only,14.33422582,-13.87286443,6.920992,10.24422412,-0.458035234,-1.696535936,3.812451963,-0.225133901,2.733765723,-0.152427175
Jurkat only,14.58966965,-18.63804976,13.41022185,-23.09536713,-6.069453691,-8.735302913,25.58920307,-0.091025684,-1.875059122,3.567762319
Jurkat only,15.70172589,-15.75783235,-1.554671248,0.920252537,-15.40022597,-1.393827578,-2.22118078,-0.23695214,-2.366874426,-2.723695608
Jurkat only,14.57408431,-16.03569614,8.310039082,8.390298487,4.824256138,-1.046355143,6.68537819,-0.057332728,3.906549953,1.053474987
Jurkat only,13.85809738,-10.86538752,11.03401773,8.898276553,3.182672991,-2.474003543,2.900652969,-0.08854611,1.991441808,0.452285488
Jurkat only,12.48142649,-24.3915251,4.475751148,5.778025541,-4.914032447,3.819518899,1.811017966,0.087271274,2.15827719,0.616856933
Jurkat only,14.30247126,-14.45008143,7.820947862,9.374849774,-0.366973398,-2.925276592,0.730981093,-0.279317059,-0.026852435,0.265702646
Jurkat only,13.46847689,-15.40492029,6.008500376,0.923979872,-5.052507589,-9.411610239,-3.331051415,0.323425693,5.020362904,4.27302554
Jurkat only,11.55160529,-22.57167105,2.317149465,-0.832346819,-0.093036424,-1.977131643,2.427263207,0.062167144,-4.402124699,4.053654539
Jurkat only,15.04143719,-13.70723644,5.071774641,-19.13293815,-5.291278568,-19.02403449,9.91884439,3.824410141,3.480097457,-0.461452108
Jurkat only,14.82066534,-14.3590085,12.06068058,-7.339282631,3.718094427,-11.66377653,0.88919662,2.331849458,1.438167492,-1.720038881
Jurkat only,16.28349822,-8.842088305,8.549507269,2.256271898,-8.926957462,-6.293016485,8.098474766,0.536960257,-2.271189611,-3.917258602
Jurkat only,14.52527771,-2.325657957,16.51036524,-5.778934374,-8.343947545,2.422426215,-8.732959421,0.199201679,0.199801384,1.766496379
Jurkat only,14.99913024,-12.07424314,9.754867832,-1.602064595,-8.002808606,10.67615262,0.66905069,-0.869807414,0.895135722,3.851158342
Jurkat only,14.27872635,-16.18779826,6.586845468,-2.983598136,-1.806663465,-1.595456573,-9.831954822,-1.813135228,-2.321967694,1.68483854
Jurkat only,12.54407728,-23.79287205,3.240521156,0.258468388,3.74425474,7.010892747,3.438984388,0.106995908,0.515961212,-1.437859739
Jurkat only,13.41895881,-15.24229043,12.43287584,-0.227295335,-7.304007768,-3.084566911,-8.859258271,0.53602072,-0.234698619,2.332880409
Jurkat only,15.87282076,-7.684988379,12.75604734,10.03969333,-4.764802242,-5.879780943,-2.000233586,-0.880929422,1.616235279,2.975087045
Jurkat only,12.88473767,-19.05376367,9.637468682,0.926237309,1.901274597,-4.507499958,-4.32968513,0.297026203,1.697434371,2.49215941
Jurkat only,12.65164414,-22.77481958,4.287800411,-1.172390676,4.251969837,-7.969813352,8.843663689,0.666731016,-2.130401657,2.18457808
Jurkat only,11.80055162,-18.3709999,5.564176032,1.231209072,5.099331736,1.126213251,-0.943886358,1.565963796,9.998922517,-4.471509245
Jurkat only,12.13846152,-26.53864233,-3.585508465,4.003163861,0.04759073,-0.328049387,2.69890611,-0.009186515,-2.797613811,4.330710066
Jurkat only,12.89995072,-15.41277128,9.536066545,7.833218285,3.936517536,-4.57878174,-0.213322832,0.070210839,3.670861802,5.351739679
Jurkat only,13.26118622,3.662350968,20.32810677,-0.706284514,-0.632844786,5.303727834,6.359984315,0.519714131,9.623949596,-8.292123812
Jurkat only,10.62760682,-32.00077989,-11.87932581,-8.148140197,-3.066943233,-4.771669866,-7.462220122,0.920900112,0.945198569,4.379769492
Jurkat only,13.41907493,-11.31457201,3.522336248,8.312002101,3.509663325,-3.739777247,0.783376769,-0.67158972,-4.562295264,0.197505771
Jurkat only,15.90022675,-22.38467951,12.94523037,-6.683384136,-5.597288771,-2.612348194,-6.105073197,1.518268774,2.84064932,3.834160717
Jurkat only,12.42574896,-13.77853676,6.805190579,-2.753560422,-2.151928646,-8.249223082,14.33057375,1.102363472,0.942689598,0.333149476
Jurkat only,15.19239716,-11.84619848,14.95040291,6.508666173,2.682428072,-4.735496128,2.389245897,0.145670537,4.209100185,2.998868425
Jurkat only,13.7389338,-14.73473451,6.862192309,8.482938568,-1.213841235,-3.567219346,-3.270899437,-0.298370603,-3.325242834,4.402005278
Jurkat only,11.97500714,-12.93853116,4.253833386,3.798632139,-6.326674806,5.82857738,-0.916404369,-1.203902196,-3.208969167,-0.991270862
